id,"name","display_name","description","created_at","updated_at",resource_type,is_hidden
1,"picture-books-create","增加",NULL,"2017-09-08 07:00:14","2017-09-08 07:00:14",0,0
2,"picture-books-read","查看",NULL,"2017-09-08 07:00:14","2017-09-08 07:00:14",0,0
3,"picture-books-update","更改",NULL,"2017-09-08 07:00:15","2017-09-08 07:00:15",0,0
4,"picture-books-delete","删除",NULL,"2017-09-08 07:00:15","2017-09-08 07:00:15",0,0
5,"promotions-create","增加",NULL,"2017-09-08 07:02:23","2017-09-08 07:02:23",1,0
6,"promotions-read","查看",NULL,"2017-09-08 07:02:23","2017-09-08 07:02:23",1,0
7,"promotions-update","更改",NULL,"2017-09-08 07:02:23","2017-09-08 07:02:23",1,0
8,"promotions-delete","删除",NULL,"2017-09-08 07:02:23","2017-09-08 07:02:23",1,1
9,"home-create","增加",NULL,"2017-09-08 07:02:44","2017-09-08 07:02:44",2,1
10,"home-read","查看所有日志",NULL,"2017-09-08 07:02:44","2017-09-08 07:02:44",2,0
11,"home-update","更改",NULL,"2017-09-08 07:02:44","2017-09-08 07:02:44",2,1
12,"home-delete","删除",NULL,"2017-09-08 07:02:44","2017-09-08 07:02:44",2,1
13,"robots-create","增加",NULL,"2017-09-08 07:03:06","2017-09-08 07:03:06",3,0
14,"robots-read","查看",NULL,"2017-09-08 07:03:06","2017-09-08 07:03:06",3,0
15,"robots-update","更改",NULL,"2017-09-08 07:03:06","2017-09-08 07:03:06",3,0
16,"robots-delete","删除",NULL,"2017-09-08 07:03:06","2017-09-08 07:03:06",3,1
17,"packages-create","增加",NULL,"2017-09-08 07:03:21","2017-09-08 07:03:21",4,1
18,"packages-read","查看",NULL,"2017-09-08 07:03:21","2017-09-08 07:03:21",4,0
19,"packages-update","更改",NULL,"2017-09-08 07:03:21","2017-09-08 07:03:21",4,0
20,"packages-delete","删除",NULL,"2017-09-08 07:03:21","2017-09-08 07:03:21",4,1
21,"users-create","增加",NULL,"2017-09-08 07:03:41","2017-09-08 07:03:41",5,1
22,"users-read","查看",NULL,"2017-09-08 07:03:41","2017-09-08 07:03:41",5,0
23,"users-update","更改",NULL,"2017-09-08 07:03:41","2017-09-08 07:03:41",5,1
24,"users-delete","删除",NULL,"2017-09-08 07:03:41","2017-09-08 07:03:41",5,1
25,"operations-create","增加",NULL,"2017-09-08 07:03:54","2017-09-08 07:03:54",6,0
26,"operations-read","查看",NULL,"2017-09-08 07:03:54","2017-09-08 07:03:54",6,0
27,"operations-update","更改",NULL,"2017-09-08 07:03:54","2017-09-08 07:03:54",6,0
28,"operations-delete","删除",NULL,"2017-09-08 07:03:54","2017-09-08 07:03:54",6,0
29,"upload-oss-create","增加",NULL,"2017-09-08 07:04:16","2017-09-08 07:04:16",7,0
30,"upload-oss-read","查看",NULL,"2017-09-08 07:04:16","2017-09-08 07:04:16",7,0
31,"upload-oss-update","更改",NULL,"2017-09-08 07:04:16","2017-09-08 07:04:16",7,1
32,"upload-oss-delete","删除",NULL,"2017-09-08 07:04:16","2017-09-08 07:04:16",7,1
33,"picture-books-topic-create","增加",NULL,"2017-09-08 07:04:31","2017-09-08 07:04:31",8,0
34,"picture-books-topic-read","查看",NULL,"2017-09-08 07:04:31","2017-09-08 07:04:31",8,0
35,"picture-books-topic-update","更改",NULL,"2017-09-08 07:04:31","2017-09-08 07:04:31",8,0
36,"picture-books-topic-delete","删除",NULL,"2017-09-08 07:04:31","2017-09-08 07:04:31",8,0
37,"users-download","下载luka用户",NULL,NULL,NULL,5,0
38,"users-scan-isbn","下载扫描ISBN",NULL,NULL,NULL,5,0
39,"banners-create","增加",NULL,"2017-09-21 03:17:27","2017-09-21 03:17:27",9,0
40,"banners-read","查看",NULL,"2017-09-21 03:17:27","2017-09-21 03:17:27",9,0
41,"banners-update","更改",NULL,"2017-09-21 03:17:27","2017-09-21 03:17:27",9,0
42,"banners-delete","删除",NULL,"2017-09-21 03:17:28","2017-09-21 03:17:28",9,0
43,"robots-statistics","查看设备统计",NULL,NULL,NULL,3,1
44,"robots-unbind","设备解绑用户",NULL,NULL,NULL,3,0
